folder,dta,pos,variable,label,col_type
42m,f690.dta,123,c0078,age at 2nd attack in months,dbl+lbl
42m,f690.dta,124,c0079,cause of 2nd attack,dbl+lbl
42m,f690.dta,125,c0080,age at 3rd attack in months,dbl+lbl
42m,f690.dta,126,c0081,cause of 3rd attack,dbl+lbl
42m,f690.dta,127,c0082,has child ever attended o/p casualty etc.,dbl+lbl
42m,f690.dta,128,c0083,has child had any other admissions,dbl+lbl
42m,f690.dta,129,c0084,has child attended spc follow-up clinic,dbl+lbl
42m,f690.dta,130,c0086,any other illnesses,dbl+lbl
42m,f690.dta,131,c0086a,icd code 1st other illness,dbl+lbl
42m,f690.dta,132,c0086b,icd code 2nd other illness,dbl+lbl
42m,f690.dta,133,c0086c,icd code 3rd other illness,dbl+lbl
42m,f690.dta,134,c0087,height in centimetres,dbl+lbl
42m,f690.dta,135,c0088,weight in kilos,dbl+lbl
42m,f690.dta,136,c0089,head circumference in cms.,dbl+lbl
42m,f690.dta,137,c0090,any difficulties with measurements,dbl+lbl
42m,f690.dta,138,c0091,examiner observation- undoes buttons,dbl+lbl
42m,f690.dta,139,c0092,mother's reply - undoes buttons,dbl+lbl
42m,f690.dta,140,c0093,examiner's observation - does up buttons,dbl+lbl
42m,f690.dta,141,c0094,mother's reply - does up buttons,dbl+lbl
42m,f690.dta,142,c0095,evidence of squint,dbl+lbl
42m,f690.dta,143,c0096,evidence of other visual defects,dbl+lbl
42m,f690.dta,144,c0097,evidence of hearing loss,dbl+lbl
42m,f690.dta,145,c0098,was speech clear during observation,dbl+lbl
42m,f690.dta,146,c0099,if no to 'clear speech' specify,dbl+lbl
42m,f690.dta,147,c0100,evidence of cerebral palsy,dbl+lbl
42m,f690.dta,148,c0100a,icd code for cerebral palsy,dbl+lbl
42m,f690.dta,149,c0101,evidence of respiratory disease,dbl+lbl
42m,f690.dta,150,c0101a,icd code for respiratory disease,dbl+lbl
42m,f690.dta,151,c0102,any other abnormalities,dbl+lbl
42m,f690.dta,152,c0102a,icd code 1st abnormality,dbl+lbl
42m,f690.dta,153,c0102b,icd code 2nd abnormality,dbl+lbl
42m,f690.dta,154,c0102c,icd code 3rd abnormality,dbl+lbl
42m,f690.dta,155,c0102d,icd code 4th abnormality,dbl+lbl
42m,f690.dta,156,c0103,other information available,dbl+lbl
42m,f690.dta,157,c0105,place of examination,dbl+lbl
42m,f690.dta,158,c0106,status of examiner,dbl+lbl
42m,f690.dta,159,c0104,age in days,dbl
xwave,bcs70_activity_histories_eul.dta,1,BCSID,BCS70 identifier,chr
xwave,bcs70_activity_histories_eul.dta,2,WSWEEP05,Sweep5: Wh participated and wh any activity data included,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,3,WSWEEP06,Sweep6: Wh participated and wh any activity data,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,4,WSWEEP07,Sweep7: Wh participated and wh any activity data,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,5,WSWEEP08,Sweep8: Wh participated and wh any activity data,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,6,WSWEEP09,Sweep9: Wh participated and wh any activity data,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,7,WSWEEP10,Sweep10: Wh participated and wh any activity data,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,8,CMSEX,CM's sex,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,9,NUMACTS,Total number of activities,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,10,ACTNUM,Activity number,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,11,LSTSWCMC,Century month (from 1900) of latest interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,12,JSTCMC,Activity start century month (from 1900),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,13,JENDCMC,Activity end century month (from 1900),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,14,JDUR,Activity duration in months (truncated at latest sweep),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,15,JACTIV,Activity activity type,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,16,JFTPT,Activity full-time or part-time (work activities only),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,17,JSTMTH,Activity start month,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,18,JSTYR,Activity start year,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,19,JENDMTH,Activity end month,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,20,JENDYR,Activity end year,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,21,HISTLEN,Length of known activity history incl. gaps (months),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,22,OVERLAP,Total overlap in activities (months),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,23,POVERLAP,Percentage overlap in activities (of total history),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,24,GAP,Total gap in activities (months),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,25,PGAP,Percentage gap in activities (of total history),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,26,CERRORS,Case has activity history errors,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,27,AERRORS,Activity has activity history errors,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,28,AERROR1,"Act.err: End date overlaps next activity, truncated",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,29,AERROR2,Act.err: Start date missing,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,30,AERROR3,Act.err: End date missing,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,31,AERROR4,"Act.err: End date before start date, set to start date, dur set to -8 dk",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,32,AERROR5,"Act err: Non f/t_ed activity before age16, start set to Apr1986",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,33,AERROR6,"Act err: Act. curr. at latest swp but start<sweep date, dur set to 0",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,34,AERROR7,Act err: Forced start of activity,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,35,AERROR8,Act err: Forced end of activity,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,36,JYLEFT,"Reason left job (s4, s6,s7,s8, s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,37,JYLEFTX,"Reason left job (detailed s537,s6,s7,s8,s9)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,38,JEMPST,"Activity employment status (s5,s6,s7,s8,s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,39,J91SEG,"Activity SEG '91(s5,s537,s6,s7,s8,s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,40,J90SOC,"Activity soc90 (s5,s537,s6,s7,s8,s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,41,J91SC,"Activity social class '91 (s5,s537,s6,s7,s8,s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,42,J2KSOC,"Activity soc2000 (s7,s8,s9 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,43,J10SOC,"Activity soc2010 (s9,s10 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,44,JNSSEC,"Activity NS-SEC (long version - s7,s8,s9,s10 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,45,J8NSSEC,"Activity NS-SEC8 (analytic version - s7,s8,s9,s10 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,46,JSIC,Activity S.I.C. (s6 current work activity),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,47,J92SIC,Activity S.I.C. 1992 (s7 current work activity),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,48,J03SIC,Activity S.I.C. 2003 (s8 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,49,J10SIC,Activity S.I.C. 2010 (s10 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,50,JTORG,"Activity Type of organisation CM works for (s537,s6 work activities)",dbl+lbl
xwave,bcs70_activity_histories_eul.dta,51,JCAMGP,Activity Cambridge Sub-Group & Title Ident. (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,52,JCAMSM,Activity Cambridge Scale Score - Males (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,53,JCAMSF,Activity Cambridge Scale Score - Females (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,54,J88ISC,Activity ISCO '88-Int Stan Class of Occupns (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,55,JKOS,Activity KOS - Key Occupns for Stats (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,56,JCODOT,Activity CODOT - 3 digit classification (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,57,JOP70G,Activity OPCS 1970 - Occupation Unit Group (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,58,JOP80G,Activity OPCS 1980 - Occupation Unit Group (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,59,JOP80C,Activity OPCS 1980 - Operational Code (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,60,J61SEG,Activity Socio-Economic Group 1961 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,61,J66SEG,Activity Socio-Economic Group 1966 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,62,J71SEG,Activity Socio-Economic Group 1971 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,63,J81SEG,Activity Socio-Economic Group 1981 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,64,J66RGS,Activity Social Class RG''s 1966 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,65,J71RGS,Activity Social Class RG''s 1971 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,66,J81RGS,Activity Social Class RG''s 1981 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,67,J90GSC,Activity Goldthorpe Social Class 1990 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,68,J80GSC,Activity Goldthorpe Social Class 1980 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,69,J70GSC,Activity Goldthorpe Social Class 1970 (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,70,JHGCG,Activity Hope-Goldthorpe Collapsed Group (s5 work activities),chr
xwave,bcs70_activity_histories_eul.dta,71,JHGSS,Activity Hope-Goldthorpe Scale Score (s5 work activities),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,72,SWPFLG05,CM in sweep 5,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,73,INTMON05,Month of sweep 5 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,74,INTYR05,Year of sweep 5 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,75,INTCMC05,Century month of sweep 5 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,76,SWPFLG06,CM in sweep 6,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,77,INTMON06,Month of sweep 6 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,78,INTYR06,Year of sweep 6 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,79,INTCMC06,Century month of sweep 6 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,80,SWPFLG07,CM in sweep 7,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,81,INTMON07,Month of sweep 7 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,82,INTYR07,Year of sweep 7 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,83,INTCMC07,Century month of sweep 7 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,84,SWPFLG08,CM in sweep 8,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,85,INTMON08,Month of sweep 8 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,86,INTYR08,Year of sweep 8 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,87,INTCMC08,Century month of sweep 8 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,88,SWPFLG09,CM in sweep 9,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,89,INTMON09,Month of sweep 9 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,90,INTYR09,Year of sweep 9 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,91,INTCMC09,Century month of sweep 9 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,92,SWPFLG10,CM in sweep 10,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,93,INTMON10,Month of sweep 10 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,94,INTYR10,Year of sweep 10 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,95,INTCMC10,Century month of sweep 10 interview,dbl+lbl
xwave,bcs70_activity_histories_eul.dta,96,JLSTSWP,Latest sweep activity mentioned at (current at latest swp),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,97,JLSTMTH,Month of latest sweep activity mentioned at (if current at latest swp),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,98,JLSTYR,Year of latest sweep activity mentioned at (if current at latest swp),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,99,JLSTCMC,Century month of latest sweep activity mentioned at (if current at latest swp),dbl+lbl
xwave,bcs70_activity_histories_eul.dta,100,JSLOT,Sweep and slot number that activity was reported in,dbl+lbl
10y,bcs3_special_needs.dta,1,BCSID,research case identifier,chr
10y,bcs3_special_needs.dta,2,I1504,QA2-CHILDS GENERAL KNOWLEDGE,dbl+lbl
10y,bcs3_special_needs.dta,3,I1505,CHILDS SEX,dbl+lbl
10y,bcs3_special_needs.dta,4,I1512,Q.A4-SPECIAL SCHOOL,dbl+lbl
10y,bcs3_special_needs.dta,5,I1513,QA5-THERAPY AT SCHOOL,dbl+lbl
10y,bcs3_special_needs.dta,6,I1514,QA5-REMEDIAL CLASS,dbl+lbl
10y,bcs3_special_needs.dta,7,I1515,QA5-REMEDIAL GROUP-READING,dbl+lbl
10y,bcs3_special_needs.dta,8,I1516,QA5-REMEDIAL GROUP-MATHEMATICS,dbl+lbl
10y,bcs3_special_needs.dta,9,I1517,QA5-SPECIAL GROUP,dbl+lbl
10y,bcs3_special_needs.dta,10,I1518,QA5 INDIVIDUAL REMEDIAL TUTION,dbl+lbl
10y,bcs3_special_needs.dta,11,I1519,QA5-INDIVIDUAL SCHOOLCOUNSELLING,dbl+lbl
10y,bcs3_special_needs.dta,12,I1520,QA5-OTHER TYPE OOF HELP,dbl+lbl
10y,bcs3_special_needs.dta,13,I1521,QA6-WOULD CHILD BENEFIT FROM HELP,dbl+lbl
10y,bcs3_special_needs.dta,14,I1522,QA6-WHAT KIND OF HELP,dbl+lbl
10y,bcs3_special_needs.dta,15,I1523,QA7-CHILD GUIDANCE-PSYCHOLOGL CNSLNG,dbl+lbl
10y,bcs3_special_needs.dta,16,I1524,QA7-PSYCHIATRIC CNSLNG+TREATMENT,dbl+lbl
10y,bcs3_special_needs.dta,17,I1525,QA7-SPEECH THERAPY,dbl+lbl
10y,bcs3_special_needs.dta,18,I1526,A7-VISUAL DISABILITY,dbl+lbl
10y,bcs3_special_needs.dta,19,I1527,QA7-AU DITORY DISABILITY,dbl+lbl
10y,bcs3_special_needs.dta,20,I1528,QA7-PHYSCIAL THERAPY,dbl+lbl
10y,bcs3_special_needs.dta,21,I1529,QA7-EDUCATIONAL WELFARE INTERVENTION,dbl+lbl
10y,bcs3_special_needs.dta,22,I1530,QA7-SOCIAL WORK INTERVENTION,dbl+lbl
10y,bcs3_special_needs.dta,23,I1531,QA7-ATTENDANCE AT NURTURE CENTRE,dbl+lbl
10y,bcs3_special_needs.dta,24,I1532,QA7 ATTENDANCE AT REMEDIAL CENTRE,dbl+lbl
10y,bcs3_special_needs.dta,25,I1533,QA7-PROBATION OFFICER,dbl+lbl
10y,bcs3_special_needs.dta,26,I1534,QA7-OTHER HELP,dbl+lbl
10y,bcs3_special_needs.dta,27,I1535,QC13-SCALE SHOWS PERSEVERANCE,dbl+lbl
10y,bcs3_special_needs.dta,28,I1536,QA8-LEVEL OF STREAMING,dbl+lbl
10y,bcs3_special_needs.dta,29,I1537,QA8-IS CHILD TAUGHT IN SET GROUPS,dbl+lbl
10y,bcs3_special_needs.dta,30,I1538,QA8-WHICH GROUPS:READING,dbl+lbl
10y,bcs3_special_needs.dta,31,I1539,QA8-WHICH GROUPS-MATHEMATICS,dbl+lbl
10y,bcs3_special_needs.dta,32,I1541,QA9-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,33,I1542,QA10-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,34,I1543,QA11-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,35,I1544,QA12-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,36,I1545,QA13-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,37,I1546,QA14-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,38,I1547,QA15-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,39,I1548,QA16-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,40,I1549,QA17-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,41,I1550,QA18-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,42,I1564,QA19-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,43,I1565,QA20-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,44,I1566,QA21-EXPRESSIVE LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,45,I1570,QA22-DOES CHILD STAMMER OR STUTTER,dbl+lbl
10y,bcs3_special_needs.dta,46,I1571,QA23-HAS CHILD ANY SPEECH DEFECT,dbl+lbl
10y,bcs3_special_needs.dta,47,I1572,QA24-DOES CHILD USE SIGN LANGUAGE,dbl+lbl
10y,bcs3_special_needs.dta,48,I1573,QA25-HOW WELL DOES CHILD CONCENTRATE,dbl+lbl
10y,bcs3_special_needs.dta,49,I1583,QA27-DOES CHILD ACCEPT CURRICULUM,dbl+lbl
10y,bcs3_special_needs.dta,50,I1584,QA28-DOES CHILD SHOW PERSEVERANCE,dbl+lbl
10y,bcs3_special_needs.dta,51,I1585,QA29-DOES CHILD WORK INDEPENDENTLY,dbl+lbl
10y,bcs3_special_needs.dta,52,I1589,QA30-DISCUSSIONS WITH TEACHER,dbl+lbl
10y,bcs3_special_needs.dta,53,I1590,QA30-DISCUSSIONS WITH HEADMASTER,dbl+lbl
10y,bcs3_special_needs.dta,54,I1591,QA31-TIME SPENT DISCUSSING CHILD,dbl+lbl
10y,bcs3_special_needs.dta,55,I1592,QA32-INTEREST IN EDCN MOTHER,dbl+lbl
10y,bcs3_special_needs.dta,56,I1593,QA32-INTEREST IN EDCN FATHER,dbl+lbl
10y,bcs3_special_needs.dta,57,I1597,QB1B-REASON FOR ABSENCE ILLNESS,dbl+lbl
10y,bcs3_special_needs.dta,58,I1598,QB1B-REASON FOR ABSENCE BEREAVMENT,dbl+lbl
10y,bcs3_special_needs.dta,59,I1599,QB1B-REASON FOR ABSENCE WEATHERETC,dbl+lbl
10y,bcs3_special_needs.dta,60,I1600,QB1B-REASON FOR ABSENCE TRUANTING,dbl+lbl
10y,bcs3_special_needs.dta,61,I1601,QB1B-REASON FOR ABSENCE SUSPENSION,dbl+lbl
